Energy (eV),Total Cross Section (m^2)
0.0,2.51853e-17
0.0001,2.51853e-17
0.00012,2.242366e-17
0.00014,2.0333719999999998e-17
0.00016,1.8686869999999998e-17
0.00019,1.676908e-17
0.00022,1.529554e-17
0.00026,1.378034e-17
0.00031,1.2354389999999998e-17
0.00037,1.107648e-17
0.00044,9.96051e-18
0.00052,8.998009999999999e-18
0.00062,8.09211e-18
0.00074,7.28021e-18
0.00088,6.571270000000001e-18
0.001,6.0975e-18
0.0012,5.4869600000000004e-18
0.0014,5.024820000000001e-18
0.0016,4.66065e-18
0.0019,4.23672e-18
0.0022,3.911138000000001e-18
0.0026,3.576579e-18
0.0031,3.262018e-18
0.0037,2.9804239999999998e-18
0.0044,2.734795e-18
0.0052,2.523152e-18
0.0062,2.3241049999999997e-18
0.0074,2.145764e-18
0.0088,1.98998e-18
0.01,1.8857570000000002e-18
0.012,1.751179e-18
0.014,1.648954e-18
0.016,1.5680579999999999e-18
0.019,1.473356e-18
0.022,1.4000709999999999e-18
0.026,1.3240769999999998e-18
0.031,1.251781e-18
0.037,1.186147e-18
0.044,1.127995e-18
0.052,1.077058e-18
0.062,1.028317e-18
0.074,9.83859e-19
0.088,9.44351e-19
0.1,9.17559e-19
0.12,8.82547e-19
0.14,8.556799999999999e-19
0.16,8.34294e-19
0.19,8.0918e-19
0.22,7.89749e-19
0.26,7.69659e-19
0.31,7.506349999999999e-19
0.37,7.33414e-19
0.44,7.18089e-19
0.52,7.04433e-19
0.62,6.908650000000001e-19
0.74,6.7766e-19
0.88,6.64784e-19
1.0,6.551300000000001e-19
1.2,6.409079999999999e-19
1.4,6.28338e-19
1.6,6.170000000000001e-19
1.9,6.01811e-19
2.2,5.88395e-19
2.6,5.72736e-19
3.1,5.56032e-19
3.7,5.39259e-19
4.4,5.23102e-19
5.2,5.07971e-19
6.2,4.926735e-19
7.4,4.780541e-19
8.8,4.645490000000001e-19
10.0,4.551115000000001e-19
12.0,4.424166e-19
14.0,4.323568e-19
16.0,4.241119e-19
19.0,4.140965e-19
22.0,4.060364e-19
26.0,3.9734339999999997e-19
31.0,3.8869489999999996e-19
37.0,3.804563e-19
44.0,3.727799e-19
52.0,3.6570143e-19
62.0,3.5855166000000003e-19
74.0,3.5163330999999996e-19
88.0,3.4509479000000004e-19
100.0,3.4040510000000003e-19
120.0,3.3389698e-19
140.0,3.2854249e-19
160.0,3.2400645e-19
190.0,3.182977e-19
220.0,3.1353339e-19
260.0,3.0821715e-19
310.0,3.02739035e-19
370.0,2.97346482e-19
440.0,2.9217435100000003e-19
520.0,2.87283106e-19
620.0,2.82231912e-19
740.0,2.77248088e-19
880.0,2.7245846e-19
1000.0,2.68981512e-19
1200.0,2.64103701e-19
1400.0,2.6005098e-19
1600.0,2.56592065e-19
1900.0,2.522100286e-19
2100.0,2.4969377500000003e-19
2600.0,2.444098835e-19
3100.0,2.401424557e-19
3700.0,2.359273162e-19
4400.0,2.318711891e-19
5200.0,2.2802668269999997e-19
6200.0,2.240490431e-19
7400.0,2.2011833300000003e-19
8800.0,2.1633543999999999e-19
10000.0,2.1358668708e-19
