Energy (eV),Cross Section (m^2)
13.48,0.0
13.481,5.5769e-26
13.497,9.7146e-25
13.515,1.9598e-24
13.533,2.9655e-24
13.552,3.9886e-24
13.57,5.0295e-24
13.589,6.0886e-24
13.608,7.1661e-24
13.628,8.2624e-24
13.648,9.3778e-24
13.669,1.0513e-23
13.689,1.1667e-23
13.71,1.2842e-23
13.732,1.4037e-23
13.754,1.5253e-23
13.776,1.649e-23
13.798,1.7749e-23
13.821,1.903e-23
13.845,2.0333e-23
13.868,2.1658e-23
13.893,2.3007e-23
13.917,2.4379e-23
13.942,2.5775e-23
13.968,2.7196e-23
13.994,2.8641e-23
14.02,3.0295e-23
14.047,3.2039e-23
14.074,3.3813e-23
14.102,3.5618e-23
14.13,3.7454e-23
14.159,3.9322e-23
14.188,4.1223e-23
14.218,4.3157e-23
14.248,4.5125e-23
14.279,4.7127e-23
14.31,4.9163e-23
14.342,5.1236e-23
14.375,5.3344e-23
14.408,5.5489e-23
14.441,5.7672e-23
14.475,5.9892e-23
14.51,6.2151e-23
14.545,6.445e-23
14.581,6.6788e-23
14.618,6.9168e-23
14.655,7.1588e-23
14.693,7.4051e-23
14.732,7.6557e-23
14.771,7.9106e-23
14.811,8.17e-23
14.851,8.4339e-23
14.893,8.7024e-23
14.935,8.9756e-23
14.977,9.2535e-23
15.021,9.5342e-23
15.065,9.8175e-23
15.11,1.0106e-22
15.156,1.0399e-22
15.203,1.0697e-22
15.25,1.1001e-22
15.298,1.131e-22
15.347,1.1624e-22
15.397,1.1944e-22
15.448,1.2269e-22
15.5,1.26e-22
15.553,1.2936e-22
15.606,1.3279e-22
15.661,1.3627e-22
15.716,1.3982e-22
15.772,1.4343e-22
15.83,1.471e-22
15.888,1.5083e-22
15.947,1.5463e-22
16.008,1.5845e-22
16.069,1.6205e-22
16.132,1.6571e-22
16.195,1.6943e-22
16.26,1.7321e-22
16.326,1.7707e-22
16.393,1.8099e-22
16.461,1.8497e-22
16.53,1.8903e-22
16.601,1.9316e-22
16.673,1.9736e-22
16.746,2.0163e-22
16.82,2.0598e-22
16.896,2.104e-22
16.973,2.149e-22
17.051,2.1948e-22
17.131,2.2413e-22
17.212,2.2887e-22
17.294,2.337e-22
17.378,2.386e-22
17.463,2.4359e-22
17.55,2.4867e-22
17.638,2.5384e-22
17.728,2.5909e-22
17.819,2.6444e-22
17.913,2.6988e-22
18.007,2.7534e-22
18.103,2.7986e-22
18.201,2.8446e-22
18.301,2.8915e-22
18.402,2.9391e-22
18.506,2.9876e-22
18.611,3.037e-22
18.717,3.0872e-22
18.826,3.1382e-22
18.937,3.1902e-22
19.049,3.2386e-22
19.163,3.2821e-22
19.28,3.3263e-22
19.398,3.3714e-22
19.519,3.4172e-22
19.641,3.4637e-22
19.766,3.5111e-22
19.893,3.5594e-22
20.022,3.6056e-22
20.154,3.6384e-22
20.287,3.6718e-22
20.423,3.7058e-22
20.562,3.7404e-22
20.702,3.7756e-22
20.846,3.8114e-22
20.991,3.8478e-22
21.14,3.8709e-22
21.29,3.8936e-22
21.444,3.9166e-22
21.6,3.94e-22
21.759,3.9638e-22
21.921,3.9881e-22
22.085,4.0057e-22
22.252,4.0168e-22
22.423,4.0282e-22
22.596,4.0397e-22
22.772,4.0515e-22
22.951,4.0634e-22
23.134,4.0756e-22
23.319,4.088e-22
23.508,4.1005e-22
23.7,4.1133e-22
23.896,4.1264e-22
24.094,4.1396e-22
24.297,4.1531e-22
24.503,4.1668e-22
24.712,4.1808e-22
24.925,4.195e-22
25.142,4.1986e-22
25.362,4.1964e-22
25.587,4.1941e-22
25.815,4.1918e-22
26.048,4.1895e-22
26.284,4.1872e-22
26.524,4.1848e-22
26.769,4.1823e-22
35.257,4.0949e-22
39.551,4.009e-22
41.992,3.9203e-22
44.103,3.8359e-22
46.364,3.7454e-22
48.788,3.6485e-22
50.718,3.5713e-22
52.752,3.4899e-22
54.893,3.4043e-22
57.148,3.3141e-22
59.524,3.2191e-22
62.025,3.1291e-22
64.66,3.0369e-22
66.493,2.9727e-22
68.391,2.9063e-22
70.356,2.8375e-22
72.39,2.7663e-22
74.495,2.6927e-22
76.675,2.6164e-22
78.931,2.5374e-22
81.266,2.4684e-22
83.683,2.4079e-22
86.186,2.3454e-22
88.776,2.2806e-22
91.457,2.2136e-22
94.232,2.1442e-22
97.105,2.0724e-22
100.08,1.9984e-22
103.16,1.9388e-22
106.34,1.8807e-22
109.64,1.8241e-22
113.06,1.769e-22
116.59,1.7154e-22
120.25,1.6632e-22
124.04,1.6124e-22
127.96,1.563e-22
132.02,1.515e-22
136.22,1.4682e-22
140.57,1.4228e-22
145.07,1.3787e-22
149.73,1.3358e-22
154.55,1.2941e-22
159.54,1.2536e-22
164.71,1.2143e-22
170.06,1.1761e-22
175.6,1.139e-22
181.33,1.103e-22
187.26,1.068e-22
193.41,1.0341e-22
199.76,1.0012e-22
206.35,9.6925e-23
213.16,9.3827e-23
220.21,9.0822e-23
227.51,8.7908e-23
235.07,8.5082e-23
242.89,8.2342e-23
250.99,7.9686e-23
259.37,7.7111e-23
268.04,7.4615e-23
277.03,7.2196e-23
286.32,6.9851e-23
295.95,6.758e-23
305.91,6.5379e-23
316.22,6.3247e-23
326.89,6.1182e-23
337.94,5.9182e-23
349.38,5.7244e-23
361.22,5.5368e-23
373.47,5.3551e-23
386.16,5.1792e-23
399.29,5.0089e-23
412.89,4.844e-23
426.96,4.6843e-23
441.52,4.5298e-23
456.6,4.3802e-23
472.21,4.2354e-23
488.36,4.0953e-23
513.67,3.8936e-23
540.32,3.7015e-23
568.38,3.5187e-23
597.94,3.3448e-23
629.08,3.1793e-23
661.86,3.0218e-23
696.39,2.8719e-23
732.76,2.7294e-23
771.06,2.5938e-23
811.39,2.4649e-23
853.88,2.3423e-23
898.62,2.2256e-23
945.73,2.1148e-23
995.36,2.0093e-23
