Energy (Hartee),Q(00),Q(01),Q(02),Q(03),Q(04)
1e-09,455797.89999999997,515452.7,360464.7,595620.5,479774.3
1.035029e-09,448042.698199602,506691.1,354367.3,585532.7,471664.1
1.14727e-09,425457.0506613346,481158.6,336489.0,556035.8,447892.1
1.360533e-09,390648.0487417346,441808.6,309055.8,510634.0,411376.9
1.723335e-09,346968.7971480214,392428.9,274594.8,453624.9,365515.0
2.326262e-09,298484.15276093775,337603.5,236342.6,390265.1,314581.3
3.336732e-09,249136.25294513046,281801.4,197411.5,325797.3,262741.8
5.068145e-09,201999.85240985986,228506.7,160190.8,264219.9,213204.5
8.118829e-09,159517.8992921465,180456.4,126577.4,208680.7,168454.4
1.365475e-08,122884.12,139024.8,97595.04,160809.3,129876.4
2.399084e-08,92639.6146650907,104817.7,73602.17,121275.0,97958.34
4.379468e-08,68490.92016363062,77505.25,54483.93,89699.84,72512.59
8.258369e-08,49796.50024355628,56361.39,39680.54,65269.92,52810.32
1.598863e-07,35711.704414530024,40431.21,28525.88,46861.33,37964.89
3.157979e-07,25342.09988040934,28700.83,20306.74,33296.32,27024.2
6.321809e-07,17853.910149890955,20228.25,14356.18,23488.55,19104.86
1.274103e-06,12530.8849614588,14202.55,10109.5,16502.67,13452.83
2.56784e-06,8793.043061320557,9970.066,7120.045,11592.86,9474.091
5.140437e-06,6192.758948672411,7024.058,5027.309,8174.4,6689.907
1.015308e-05,4387.353366088704,4977.058,3589.877,5799.92,4769.286
1.96569e-05,3152.9004999999997,3578.417,2572.555,4167.859,3423.588
3.706705e-05,2290.7225,2599.374,1890.636,3033.888,2507.939
6.766498e-05,1692.7879904826177,1923.365,1400.34,2248.771,1861.494
0.0001188846,1280.8874999999985,1454.762,1064.134,1700.863,1411.883
0.0001999475,989.920493050586,1124.696,828.532,1316.809,1098.083
0.0003203025,783.0929950324878,890.4842,660.2404,1044.929,875.0228
0.0004865057,636.2260459933875,723.9869,540.3002,850.7872,715.8219
0.0006978317,531.2858031691698,605.0693,455.207,712.4713,602.774
0.0009419757,456.77794956388027,520.6818,395.2814,614.6756,523.0891
0.001193164,404.7805051385208,461.7815,354.2588,546.6073,468.2608
0.001414958,378.0141970464776,430.781,326.5387,507.6621,432.0723
0.0015684,365.62119913061576,415.4679,309.3547,488.8226,409.0481
0.001623339,359.9502,409.0554,303.4429,481.1044,401.6533
0.001632364,358.9394496789341,407.9421,302.5141,479.815,400.5194
0.001659651,355.70315402199833,404.4142,299.8631,475.8302,397.2852
0.001705843,349.93944974896675,398.1701,295.8803,468.9673,392.3416
0.001772024,341.1562517094474,388.6557,291.3018,458.5716,386.3007
0.001859725,328.7845456070032,375.3688,287.1262,444.0431,380.2947
0.001970945,312.61929999999984,358.1003,283.9414,425.0365,374.9034
0.002108163,293.0149499999999,337.1808,281.4275,402.3752,369.7592
0.002274343,271.0569986584971,313.4175,278.2375,378.3062,362.9585
0.002472935,248.03144999999995,287.9721,272.5257,355.1636,352.407
0.002707847,224.59429951531058,262.0525,263.05,333.9902,337.9664
0.002983396,201.17379999999983,236.7992,249.5063,314.2464,320.7571
0.00330421,178.31124999999992,213.084,232.571,294.7742,302.1165
0.003675082,156.95725000000007,191.49,213.5272,274.7067,282.5927
0.004100758,138.01909999999995,172.3312,193.7625,253.9269,262.3867
0.004585648,122.05109999999996,155.6613,174.5096,232.9161,241.73
0.00513345,109.14314999999999,141.3929,156.6369,212.4528,221.1364
0.005746692,99.00140006140764,129.3066,140.6521,193.2616,201.2625
0.006426204,91.16359987651387,119.1605,126.7565,175.8792,182.7503
0.007170537,85.13104999999999,110.6855,114.9392,160.5721,166.0481
0.007975373,80.44880000000005,103.6234,105.0348,147.3854,151.384
0.008832989,76.76072999999997,97.74683,96.8354,136.225,138.8076
0.009731828,73.80414499999999,92.8558,90.09569,126.892,128.199
0.01065629,71.39729987151178,88.78968,84.58704,119.1642,119.3718
0.01158678,69.40979999999998,85.41315,80.1077,112.8194,112.1144
0.01250013,67.76331499999996,82.62537,76.48969,107.656,106.2138
0.01337039,66.39755999999998,80.33854,73.58974,103.494,101.4717
0.01417,65.27792499999998,78.48982,71.29825,100.188,97.72204
0.0148713,64.38208999999998,77.03185,69.52654,97.62339,94.82606
0.01544826,63.694959999999995,75.9291,68.20865,95.71227,92.67693
0.01587823,63.21106499999998,75.15922,67.2995,94.39114,91.19581
0.01614365,62.92192499999997,74.7032,66.76586,93.61541,90.32841
0.01623339,62.82587999999996,74.55228,66.59004,93.35971,90.04284
0.01670858,62.33252514754,73.7804,65.69264,92.05813,88.58839
0.0181394,60.96052,71.67968,63.31403,88.59184,84.75235
0.02051288,58.99702004693582,68.78476,60.17027,83.99843,79.74575
0.02371487,56.78739499999997,65.68256,56.98681,79.32993,74.77714
0.02741668,54.66273499999996,62.84122,54.24313,75.29186,70.6001
0.03100407,52.91528984543192,60.59919,52.19127,72.27288,67.55907
0.03365906,51.771209999999975,59.16914,50.92371,70.41602,65.71957
0.03464434,51.37437999999999,58.67949,50.49622,69.79178,65.10644
