Angle (deg),Energy (eV),Differential cross section (m2/sr)
0.0,0.0013605,3.233e-21
1.0,0.0013605,3.233e-21
2.0,0.0013605,3.2329e-21
3.0,0.0013605,3.2329e-21
4.0,0.0013605,3.2328e-21
5.0,0.0013605,3.2327e-21
6.0,0.0013605,3.2326e-21
7.0,0.0013605,3.2324e-21
8.0,0.0013605,3.2323e-21
9.0,0.0013605,3.2321e-21
10.0,0.0013605,3.2319e-21
11.0,0.0013605,3.2316e-21
12.0,0.0013605,3.2314e-21
13.0,0.0013605,3.2311e-21
14.0,0.0013605,3.2308e-21
15.0,0.0013605,3.2305e-21
16.0,0.0013605,3.2302e-21
17.0,0.0013605,3.2298e-21
18.0,0.0013605,3.2294e-21
19.0,0.0013605,3.229e-21
20.0,0.0013605,3.2286e-21
21.0,0.0013605,3.2281e-21
22.0,0.0013605,3.2277e-21
23.0,0.0013605,3.2272e-21
24.0,0.0013605,3.2267e-21
25.0,0.0013605,3.2262e-21
26.0,0.0013605,3.2256e-21
27.0,0.0013605,3.225e-21
28.0,0.0013605,3.2245e-21
29.0,0.0013605,3.2239e-21
30.0,0.0013605,3.2232e-21
31.0,0.0013605,3.2226e-21
32.0,0.0013605,3.2219e-21
33.0,0.0013605,3.2212e-21
34.0,0.0013605,3.2205e-21
35.0,0.0013605,3.2198e-21
36.0,0.0013605,3.2191e-21
37.0,0.0013605,3.2183e-21
38.0,0.0013605,3.2176e-21
39.0,0.0013605,3.2168e-21
40.0,0.0013605,3.216e-21
41.0,0.0013605,3.2152e-21
42.0,0.0013605,3.2143e-21
43.0,0.0013605,3.2135e-21
44.0,0.0013605,3.2126e-21
45.0,0.0013605,3.2117e-21
46.0,0.0013605,3.2108e-21
47.0,0.0013605,3.2099e-21
48.0,0.0013605,3.209e-21
49.0,0.0013605,3.208e-21
50.0,0.0013605,3.2071e-21
51.0,0.0013605,3.2061e-21
52.0,0.0013605,3.2051e-21
53.0,0.0013605,3.2041e-21
54.0,0.0013605,3.2031e-21
55.0,0.0013605,3.2021e-21
56.0,0.0013605,3.201e-21
57.0,0.0013605,3.2e-21
58.0,0.0013605,3.1989e-21
59.0,0.0013605,3.1979e-21
60.0,0.0013605,3.1968e-21
61.0,0.0013605,3.1957e-21
62.0,0.0013605,3.1946e-21
63.0,0.0013605,3.1935e-21
64.0,0.0013605,3.1924e-21
65.0,0.0013605,3.1912e-21
66.0,0.0013605,3.1901e-21
67.0,0.0013605,3.1889e-21
68.0,0.0013605,3.1878e-21
69.0,0.0013605,3.1866e-21
70.0,0.0013605,3.1854e-21
71.0,0.0013605,3.1843e-21
72.0,0.0013605,3.1831e-21
73.0,0.0013605,3.1819e-21
74.0,0.0013605,3.1807e-21
75.0,0.0013605,3.1795e-21
76.0,0.0013605,3.1783e-21
77.0,0.0013605,3.1771e-21
78.0,0.0013605,3.1759e-21
79.0,0.0013605,3.1746e-21
80.0,0.0013605,3.1734e-21
81.0,0.0013605,3.1722e-21
82.0,0.0013605,3.171e-21
83.0,0.0013605,3.1697e-21
84.0,0.0013605,3.1685e-21
85.0,0.0013605,3.1672e-21
86.0,0.0013605,3.166e-21
87.0,0.0013605,3.1648e-21
88.0,0.0013605,3.1635e-21
89.0,0.0013605,3.1623e-21
90.0,0.0013605,3.1611e-21
91.0,0.0013605,3.1598e-21
92.0,0.0013605,3.1586e-21
93.0,0.0013605,3.1573e-21
94.0,0.0013605,3.1561e-21
95.0,0.0013605,3.1549e-21
96.0,0.0013605,3.1536e-21
97.0,0.0013605,3.1524e-21
98.0,0.0013605,3.1512e-21
99.0,0.0013605,3.15e-21
100.0,0.0013605,3.1488e-21
101.0,0.0013605,3.1475e-21
102.0,0.0013605,3.1463e-21
103.0,0.0013605,3.1451e-21
104.0,0.0013605,3.1439e-21
105.0,0.0013605,3.1427e-21
106.0,0.0013605,3.1416e-21
107.0,0.0013605,3.1404e-21
108.0,0.0013605,3.1392e-21
109.0,0.0013605,3.138e-21
110.0,0.0013605,3.1369e-21
111.0,0.0013605,3.1357e-21
112.0,0.0013605,3.1346e-21
113.0,0.0013605,3.1335e-21
114.0,0.0013605,3.1323e-21
115.0,0.0013605,3.1312e-21
116.0,0.0013605,3.1301e-21
117.0,0.0013605,3.129e-21
118.0,0.0013605,3.1279e-21
119.0,0.0013605,3.1268e-21
120.0,0.0013605,3.1258e-21
121.0,0.0013605,3.1247e-21
122.0,0.0013605,3.1237e-21
123.0,0.0013605,3.1227e-21
124.0,0.0013605,3.1216e-21
125.0,0.0013605,3.1206e-21
126.0,0.0013605,3.1196e-21
127.0,0.0013605,3.1187e-21
128.0,0.0013605,3.1177e-21
129.0,0.0013605,3.1167e-21
130.0,0.0013605,3.1158e-21
131.0,0.0013605,3.1149e-21
132.0,0.0013605,3.114e-21
133.0,0.0013605,3.1131e-21
134.0,0.0013605,3.1122e-21
135.0,0.0013605,3.1113e-21
136.0,0.0013605,3.1105e-21
137.0,0.0013605,3.1096e-21
138.0,0.0013605,3.1088e-21
139.0,0.0013605,3.108e-21
140.0,0.0013605,3.1072e-21
141.0,0.0013605,3.1064e-21
142.0,0.0013605,3.1057e-21
143.0,0.0013605,3.1049e-21
144.0,0.0013605,3.1042e-21
145.0,0.0013605,3.1035e-21
146.0,0.0013605,3.1028e-21
147.0,0.0013605,3.1022e-21
148.0,0.0013605,3.1015e-21
149.0,0.0013605,3.1009e-21
150.0,0.0013605,3.1003e-21
151.0,0.0013605,3.0997e-21
152.0,0.0013605,3.0991e-21
153.0,0.0013605,3.0985e-21
154.0,0.0013605,3.098e-21
155.0,0.0013605,3.0975e-21
156.0,0.0013605,3.097e-21
157.0,0.0013605,3.0965e-21
158.0,0.0013605,3.096e-21
159.0,0.0013605,3.0956e-21
160.0,0.0013605,3.0951e-21
161.0,0.0013605,3.0947e-21
162.0,0.0013605,3.0944e-21
163.0,0.0013605,3.094e-21
164.0,0.0013605,3.0936e-21
165.0,0.0013605,3.0933e-21
166.0,0.0013605,3.093e-21
167.0,0.0013605,3.0927e-21
168.0,0.0013605,3.0925e-21
169.0,0.0013605,3.0922e-21
170.0,0.0013605,3.092e-21
171.0,0.0013605,3.0918e-21
172.0,0.0013605,3.0916e-21
173.0,0.0013605,3.0915e-21
174.0,0.0013605,3.0913e-21
175.0,0.0013605,3.0912e-21
176.0,0.0013605,3.0911e-21
177.0,0.0013605,3.0911e-21
178.0,0.0013605,3.091e-21
179.0,0.0013605,3.091e-21
180.0,0.0013605,3.091e-21
0.0,0.0027211,3.2534e-21
1.0,0.0027211,3.2533e-21
2.0,0.0027211,3.2533e-21
3.0,0.0027211,3.2532e-21
4.0,0.0027211,3.253e-21
5.0,0.0027211,3.2528e-21
6.0,0.0027211,3.2526e-21
7.0,0.0027211,3.2523e-21
8.0,0.0027211,3.252e-21
9.0,0.0027211,3.2516e-21
10.0,0.0027211,3.2512e-21
11.0,0.0027211,3.2507e-21
12.0,0.0027211,3.2502e-21
13.0,0.0027211,3.2497e-21
14.0,0.0027211,3.2491e-21
15.0,0.0027211,3.2484e-21
16.0,0.0027211,3.2478e-21
17.0,0.0027211,3.2471e-21
18.0,0.0027211,3.2463e-21
19.0,0.0027211,3.2455e-21
20.0,0.0027211,3.2447e-21
21.0,0.0027211,3.2438e-21
22.0,0.0027211,3.2429e-21
23.0,0.0027211,3.2419e-21
24.0,0.0027211,3.2409e-21
25.0,0.0027211,3.2399e-21
26.0,0.0027211,3.2388e-21
27.0,0.0027211,3.2377e-21
28.0,0.0027211,3.2365e-21
29.0,0.0027211,3.2353e-21
30.0,0.0027211,3.2341e-21
31.0,0.0027211,3.2328e-21
32.0,0.0027211,3.2315e-21
33.0,0.0027211,3.2301e-21
34.0,0.0027211,3.2288e-21
35.0,0.0027211,3.2273e-21
36.0,0.0027211,3.2259e-21
37.0,0.0027211,3.2244e-21
38.0,0.0027211,3.2229e-21
39.0,0.0027211,3.2213e-21
40.0,0.0027211,3.2198e-21
41.0,0.0027211,3.2181e-21
42.0,0.0027211,3.2165e-21
43.0,0.0027211,3.2148e-21
44.0,0.0027211,3.2131e-21
45.0,0.0027211,3.2114e-21
46.0,0.0027211,3.2096e-21
47.0,0.0027211,3.2078e-21
48.0,0.0027211,3.206e-21
49.0,0.0027211,3.2041e-21
50.0,0.0027211,3.2022e-21
51.0,0.0027211,3.2003e-21
52.0,0.0027211,3.1984e-21
53.0,0.0027211,3.1964e-21
54.0,0.0027211,3.1944e-21
55.0,0.0027211,3.1924e-21
56.0,0.0027211,3.1904e-21
57.0,0.0027211,3.1883e-21
58.0,0.0027211,3.1862e-21
59.0,0.0027211,3.1842e-21
60.0,0.0027211,3.182e-21
61.0,0.0027211,3.1799e-21
62.0,0.0027211,3.1777e-21
63.0,0.0027211,3.1756e-21
64.0,0.0027211,3.1734e-21
65.0,0.0027211,3.1712e-21
66.0,0.0027211,3.1689e-21
67.0,0.0027211,3.1667e-21
68.0,0.0027211,3.1644e-21
69.0,0.0027211,3.1622e-21
70.0,0.0027211,3.1599e-21
71.0,0.0027211,3.1576e-21
72.0,0.0027211,3.1553e-21
73.0,0.0027211,3.153e-21
74.0,0.0027211,3.1506e-21
75.0,0.0027211,3.1483e-21
76.0,0.0027211,3.1459e-21
77.0,0.0027211,3.1436e-21
78.0,0.0027211,3.1412e-21
79.0,0.0027211,3.1388e-21
80.0,0.0027211,3.1365e-21
81.0,0.0027211,3.1341e-21
82.0,0.0027211,3.1317e-21
83.0,0.0027211,3.1293e-21
84.0,0.0027211,3.1269e-21
85.0,0.0027211,3.1245e-21
86.0,0.0027211,3.1221e-21
87.0,0.0027211,3.1197e-21
88.0,0.0027211,3.1173e-21
89.0,0.0027211,3.1149e-21
90.0,0.0027211,3.1125e-21
91.0,0.0027211,3.1101e-21
92.0,0.0027211,3.1077e-21
93.0,0.0027211,3.1053e-21
94.0,0.0027211,3.103e-21
95.0,0.0027211,3.1006e-21
96.0,0.0027211,3.0982e-21
97.0,0.0027211,3.0958e-21
98.0,0.0027211,3.0935e-21
99.0,0.0027211,3.0911e-21
100.0,0.0027211,3.0888e-21
101.0,0.0027211,3.0865e-21
102.0,0.0027211,3.0841e-21
103.0,0.0027211,3.0818e-21
104.0,0.0027211,3.0795e-21
105.0,0.0027211,3.0772e-21
106.0,0.0027211,3.075e-21
107.0,0.0027211,3.0727e-21
108.0,0.0027211,3.0704e-21
109.0,0.0027211,3.0682e-21
110.0,0.0027211,3.066e-21
111.0,0.0027211,3.0638e-21
112.0,0.0027211,3.0616e-21
113.0,0.0027211,3.0594e-21
114.0,0.0027211,3.0573e-21
115.0,0.0027211,3.0551e-21
116.0,0.0027211,3.053e-21
117.0,0.0027211,3.0509e-21
118.0,0.0027211,3.0489e-21
119.0,0.0027211,3.0468e-21
120.0,0.0027211,3.0448e-21
121.0,0.0027211,3.0428e-21
122.0,0.0027211,3.0408e-21
123.0,0.0027211,3.0388e-21
124.0,0.0027211,3.0369e-21
125.0,0.0027211,3.035e-21
126.0,0.0027211,3.0331e-21
127.0,0.0027211,3.0312e-21
128.0,0.0027211,3.0294e-21
129.0,0.0027211,3.0275e-21
130.0,0.0027211,3.0257e-21
131.0,0.0027211,3.024e-21
132.0,0.0027211,3.0223e-21
133.0,0.0027211,3.0205e-21
134.0,0.0027211,3.0189e-21
135.0,0.0027211,3.0172e-21
136.0,0.0027211,3.0156e-21
137.0,0.0027211,3.014e-21
138.0,0.0027211,3.0125e-21
139.0,0.0027211,3.0109e-21
140.0,0.0027211,3.0094e-21
141.0,0.0027211,3.008e-21
142.0,0.0027211,3.0065e-21
143.0,0.0027211,3.0051e-21
144.0,0.0027211,3.0038e-21
145.0,0.0027211,3.0024e-21
146.0,0.0027211,3.0011e-21
147.0,0.0027211,2.9999e-21
148.0,0.0027211,2.9986e-21
149.0,0.0027211,2.9974e-21
150.0,0.0027211,2.9963e-21
151.0,0.0027211,2.9951e-21
152.0,0.0027211,2.9941e-21
153.0,0.0027211,2.993e-21
154.0,0.0027211,2.992e-21
155.0,0.0027211,2.991e-21
156.0,0.0027211,2.99e-21
157.0,0.0027211,2.9891e-21
158.0,0.0027211,2.9883e-21
159.0,0.0027211,2.9874e-21
160.0,0.0027211,2.9866e-21
161.0,0.0027211,2.9859e-21
162.0,0.0027211,2.9851e-21
163.0,0.0027211,2.9845e-21
164.0,0.0027211,2.9838e-21
165.0,0.0027211,2.9832e-21
166.0,0.0027211,2.9826e-21
167.0,0.0027211,2.9821e-21
168.0,0.0027211,2.9816e-21
169.0,0.0027211,2.9811e-21
170.0,0.0027211,2.9807e-21
171.0,0.0027211,2.9804e-21
172.0,0.0027211,2.98e-21
173.0,0.0027211,2.9797e-21
174.0,0.0027211,2.9795e-21
175.0,0.0027211,2.9792e-21
176.0,0.0027211,2.9791e-21
177.0,0.0027211,2.9789e-21
178.0,0.0027211,2.9788e-21
179.0,0.0027211,2.9788e-21
180.0,0.0027211,2.9788e-21
0.0,0.0040817,3.2843e-21
